rendering_order,tag,attributes,text_context,depth,parent_index,parent_tag,text_length,sibling_index,link,children_count,same_tag_sibling_count,same_text_sibling_count,has_link,link_is_absolute,parent_has_link,is_leaf,word_count,letter_ratio,digit_ratio,whitespace_ratio,contains_date,contains_time,starts_with_digit,ends_with_digit,attribute_count,has_class,has_id,attr_has_word_name,attr_has_word_date,attr_has_word_time,attr_has_word_location,attr_has_word_link,text_has_word_name,text_has_word_date,text_word_time,text_word_description,text_word_location,text_word_am,text_word_pm,label,event_id,source,bio,in_event,start_event,is_synthetic
38,Div,class:nav-item,venue information,3,37,Nav,17,0,,0,7,0,0,0,0,1,2,0.9411764705882353,0.0,0.058823529411764705,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Other,,synth_namefirst_000,0,0,0,True
39,Li,class:nav-item,check back for updates,3,38,Nav,22,4,,0,1,0,0,0,0,1,4,0.8636363636363636,0.0,0.13636363636363635,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other,,synth_namefirst_000,0,0,0,True
40,Li,class:nav-item,powered by,7,39,Footer,10,4,,0,0,0,0,0,0,1,2,0.9,0.0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other,,synth_namefirst_000,0,0,0,True
41,P,class:nav-item,read more,8,40,Div,9,5,,0,5,0,0,0,0,1,2,0.8888888888888888,0.0,0.1111111111111111,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other,,synth_namefirst_000,0,0,0,True
42,Li,class:nav-item,calendar,6,41,Nav,8,2,,0,1,0,0,0,0,1,1,1.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Other,,synth_namefirst_000,0,0,0,True
43,Div,class:nav-item,menu,7,42,Header,4,2,,0,2,0,0,0,0,1,1,1.0,0.0,0.0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other,,synth_namefirst_000,0,0,0,True
0,A,class:nav-item,bookmark,6,-1,Div,8,2,,0,1,0,0,0,0,1,1,1.0,0.0,0.0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other,,synth_namefirst_001,0,0,0,True
1,Li,class:nav-item,sort by,7,0,Header,7,3,,0,5,0,0,0,0,1,2,0.8571428571428571,0.0,0.14285714285714285,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other,,synth_namefirst_001,0,0,0,True
2,Span,class:nav-item,search,3,1,Div,6,3,,0,2,0,0,0,0,1,1,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other,,synth_namefirst_001,0,0,0,True
3,Li,class:nav-item,calendar,7,2,Nav,8,4,,0,4,0,0,0,0,1,1,1.0,0.0,0.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Other,,synth_namefirst_001,0,0,0,True
4,P,class:nav-item,search,4,3,Nav,6,0,,0,2,0,0,0,0,1,1,1.0,0.0,0.0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other,,synth_namefirst_001,0,0,0,True
5,Header,class:nav-item,upcoming events,7,4,Div,15,5,,0,0,0,0,0,0,1,2,0.9333333333333333,0.0,0.06666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other,,synth_namefirst_001,0,0,0,True
6,Span,class:nav-item,for more information contact,5,5,Nav,28,4,,0,7,0,0,0,0,1,4,0.8928571428571429,0.0,0.10714285714285714,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Other,,synth_namefirst_001,0,0,0,True
7,P,class:event-field-name,oak valley high school,4,6,Section,22,0,,0,10,0,0,0,0,1,4,1.0,0.0,0.13636363636363635,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,Name,0.0,synth_namefirst_001,1,1,1,True
8,Div,class:event-field-date,5/22/26,6,7,Section,7,1,,0,13,0,0,0,0,1,1,0.0,0.7142857142857143,0.0,1,0,1,0,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,Date,0.0,synth_namefirst_001,2,1,0,True
9,P,class:event-field-starttime,5:30pm,7,8,Ul,6,2,,0,11,0,0,0,0,1,1,0.3333333333333333,0.5,0.0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,StartTime,0.0,synth_namefirst_001,2,1,0,True
10,Td,class:event-field-endtime,8:00pm,4,9,Table,6,3,,0,15,0,0,0,0,1,1,0.3333333333333333,0.5,0.0,0,1,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,1,EndTime,0.0,synth_namefirst_001,2,1,0,True
11,Li,class:event-field-location,"springfield, il",4,10,Div,15,4,,0,13,0,0,0,0,1,2,0.9333333333333333,0.0,0.06666666666666667,0,0,0,0,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,Location,0.0,synth_namefirst_001,2,1,0,True
12,Div,class:nav-item,home,3,11,Div,4,1,,0,0,0,0,0,0,1,1,1.0,0.0,0.0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other,,synth_namefirst_001,0,0,0,True
13,Div,class:nav-item,read more,5,12,Header,9,3,,0,1,0,0,0,0,1,2,0.8888888888888888,0.0,0.1111111111111111,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Other,,synth_namefirst_001,0,0,0,True
14,P,class:event-field-name,ridgewood university,6,13,Section,20,0,,0,11,0,0,0,0,1,2,1.0,0.0,0.05,0,0,0,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,Name,1.0,synth_namefirst_001,1,1,1,True
15,Td,class:event-field-date,"friday, august 29th",6,14,Ul,19,1,,0,2,0,0,0,0,1,3,0.8421052631578947,0.10526315789473684,0.10526315789473684,1,0,0,0,2,1,0,0,1,0,0,0,0,1,0,0,0,0,0,Date,1.0,synth_namefirst_001,2,1,0,True
16,A,class:event-field-starttime,3:00pm,5,15,Ul,6,2,,0,13,0,0,0,0,1,1,0.3333333333333333,0.5,0.0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,StartTime,1.0,synth_namefirst_001,2,1,0,True
17,Span,class:event-field-endtime,7pm,6,16,Ul,3,3,,0,5,0,0,0,0,1,1,0.6666666666666666,0.3333333333333333,0.0,0,1,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,1,EndTime,1.0,synth_namefirst_001,2,1,0,True
18,Span,class:event-field-location,"savannah, ga",7,17,Div,12,4,,0,15,0,0,0,0,1,2,0.9166666666666666,0.0,0.08333333333333333,0,0,0,0,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,Location,1.0,synth_namefirst_001,2,1,0,True
19,A,class:nav-item,sponsors,3,18,Footer,8,0,,0,0,0,0,0,0,1,1,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other,,synth_namefirst_001,0,0,0,True
20,Span,class:nav-item,read more,4,19,Nav,9,3,,0,6,0,0,0,0,1,2,0.8888888888888888,0.0,0.1111111111111111,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other,,synth_namefirst_001,0,0,0,True
21,Li,class:nav-item,register,3,20,Div,8,4,,0,6,0,0,0,0,1,1,1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other,,synth_namefirst_001,0,0,0,True
22,P,class:nav-item,register,4,21,Footer,8,3,,0,1,0,0,0,0,1,1,1.0,0.0,0.0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other,,synth_namefirst_001,0,0,0,True
23,Li,class:event-field-name,ashwood university,4,22,Table,18,0,,0,3,0,0,0,0,1,2,1.0,0.0,0.05555555555555555,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,Name,2.0,synth_namefirst_001,1,1,1,True
24,Span,class:event-field-date,"tuesday, november 25th",4,23,Table,22,1,,0,9,0,0,0,0,1,3,0.8636363636363636,0.09090909090909091,0.09090909090909091,1,0,0,0,3,1,0,0,1,0,0,0,0,1,0,0,0,0,0,Date,2.0,synth_namefirst_001,2,1,0,True
25,Li,class:event-field-starttime,1:30pm,5,24,Ul,6,2,,0,2,0,0,0,0,1,1,0.3333333333333333,0.5,0.0,0,1,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,1,StartTime,2.0,synth_namefirst_001,2,1,0,True
26,P,class:event-field-endtime,8pm,6,25,Section,3,3,,0,11,0,0,0,0,1,1,0.6666666666666666,0.3333333333333333,0.0,0,1,0,0,4,1,0,0,0,1,0,0,0,0,0,0,0,0,1,EndTime,2.0,synth_namefirst_001,2,1,0,True
27,Td,class:event-field-location,sunrise athletic complex,7,26,Section,24,4,,0,6,0,0,0,0,1,3,1.0,0.0,0.08333333333333333,0,0,0,0,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,Location,2.0,synth_namefirst_001,2,1,0,True
28,Nav,class:nav-item,twitter,4,27,Nav,7,4,,0,2,0,0,0,0,1,1,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other,,synth_namefirst_001,0,0,0,True
29,A,class:nav-item,questions? email us,8,28,Nav,19,1,,0,3,0,0,0,0,1,3,0.8421052631578947,0.0,0.10526315789473684,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other,,synth_namefirst_001,0,0,0,True
30,Div,class:nav-item,read more,6,29,Footer,9,3,,0,6,0,0,0,0,1,2,0.8888888888888888,0.0,0.1111111111111111,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other,,synth_namefirst_001,0,0,0,True
31,Div,class:nav-item,newsletter signup,8,30,Footer,17,2,,0,7,0,0,0,0,1,2,0.9411764705882353,0.0,0.058823529411764705,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Other,,synth_namefirst_001,0,0,0,True
32,P,class:nav-item,privacy policy,5,31,Footer,14,0,,0,6,0,0,0,0,1,2,0.9285714285714286,0.0,0.07142857142857142,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Other,,synth_namefirst_001,0,0,0,True
33,P,class:nav-item,registration closed,4,32,Div,19,3,,0,2,0,0,0,0,1,2,0.9473684210526315,0.0,0.05263157894736842,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other,,synth_namefirst_001,0,0,0,True
34,P,class:nav-item,learn more,7,33,Header,10,5,,0,0,0,0,0,0,1,2,0.9,0.0,0.1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Other,,synth_namefirst_001,0,0,0,True
0,Div,class:nav-item,past events,4,-1,Header,11,3,,0,3,0,0,0,0,1,2,0.9090909090909091,0.0,0.09090909090909091,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other,,synth_namefirst_002,0,0,0,True
1,Nav,class:nav-item,events,3,0,Div,6,1,,0,8,0,0,0,0,1,1,1.0,0.0,0.0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other,,synth_namefirst_002,0,0,0,True
2,Div,class:nav-item,filter by location,8,1,Footer,18,5,,0,5,0,0,0,0,1,3,0.8888888888888888,0.0,0.1111111111111111,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Other,,synth_namefirst_002,0,0,0,True
3,A,class:nav-item,registration closed,7,2,Nav,19,1,,0,1,0,0,0,0,1,2,0.9473684210526315,0.0,0.05263157894736842,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Other,,synth_namefirst_002,0,0,0,True
4,P,class:nav-item,skip to main content,3,3,Div,20,5,,0,4,0,0,0,0,1,4,0.85,0.0,0.15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Other,,synth_namefirst_002,0,0,0,True
5,P,class:nav-item,register,6,4,Header,8,1,,0,3,0,0,0,0,1,1,1.0,0.0,0.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Other,,synth_namefirst_002,0,0,0,True
6,Nav,class:nav-item,exhibitor guidelines,3,5,Footer,20,5,,0,6,0,0,0,0,1,2,0.95,0.0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other,,synth_namefirst_002,0,0,0,True
7,Span,class:nav-item,terms of use,8,6,Div,12,3,,0,8,0,0,0,0,1,3,0.8333333333333334,0.0,0.16666666666666666,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Other,,synth_namefirst_002,0,0,0,True
8,Span,class:nav-item,newsletter signup,7,7,Nav,17,5,,0,0,0,0,0,0,1,2,0.9411764705882353,0.0,0.058823529411764705,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Other,,synth_namefirst_002,0,0,0,True
9,P,class:nav-item,view all events,7,8,Header,15,4,,0,8,0,0,0,0,1,3,0.8666666666666667,0.0,0.13333333333333333,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other,,synth_namefirst_002,0,0,0,True
10,A,class:nav-item,facebook,5,9,Nav,8,2,,0,1,0,0,0,0,1,1,1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other,,synth_namefirst_002,0,0,0,True
11,Span,class:event-field-name,evergreen college,7,10,Div,17,0,,0,3,0,0,0,0,1,2,1.0,0.0,0.058823529411764705,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,Name,0.0,synth_namefirst_002,1,1,1,True
12,P,class:event-field-date,"sep 23, 2026",6,11,Div,12,1,,0,12,0,0,0,0,1,3,0.4166666666666667,0.5,0.16666666666666666,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,Date,0.0,synth_namefirst_002,2,1,0,True
13,Span,class:event-field-location,shoreline community college gymnasium,4,12,Ul,37,2,,0,8,0,0,0,0,1,4,1.0,0.0,0.08108108108108109,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,Location,0.0,synth_namefirst_002,2,1,0,True
14,A,class:nav-item,skip to main content,5,13,Div,20,0,,0,8,0,0,0,0,1,4,0.85,0.0,0.15,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Other,,synth_namefirst_002,0,0,0,True
15,Div,class:event-field-name,central state university,7,14,Table,24,0,,0,6,0,0,0,0,1,3,1.0,0.0,0.08333333333333333,0,0,0,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,Name,1.0,synth_namefirst_002,1,1,1,True
16,A,class:event-field-date,"friday, july 4th",6,15,Ul,16,1,,0,4,0,0,0,0,1,3,0.875,0.0625,0.125,1,0,0,0,2,1,0,0,1,0,0,0,0,1,0,0,0,0,0,Date,1.0,synth_namefirst_002,2,1,0,True
17,A,class:event-field-location,midtown athletic center,4,16,Table,23,2,,0,9,0,0,0,0,1,3,1.0,0.0,0.08695652173913043,0,0,0,0,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,Location,1.0,synth_namefirst_002,2,1,0,True
18,Span,class:nav-item,login,7,17,Nav,5,1,,0,4,0,0,0,0,1,1,1.0,0.0,0.0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Other,,synth_namefirst_002,0,0,0,True
19,Header,class:nav-item,bookmark,7,18,Div,8,3,,0,1,0,0,0,0,1,1,1.0,0.0,0.0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other,,synth_namefirst_002,0,0,0,True
20,A,class:nav-item,bookmark,6,19,Footer,8,2,,0,2,0,0,0,0,1,1,1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other,,synth_namefirst_002,0,0,0,True
21,Div,class:nav-item,upcoming events,5,20,Nav,15,2,,0,7,0,0,0,0,1,2,0.9333333333333333,0.0,0.06666666666666667,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other,,synth_namefirst_002,0,0,0,True
22,Span,class:event-field-name,lakeview university,7,21,Ul,19,0,,0,11,0,0,0,0,1,2,1.0,0.0,0.05263157894736842,0,0,0,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,Name,2.0,synth_namefirst_002,1,1,1,True
23,A,class:event-field-date,"jan 12, 2026",5,22,Div,12,1,,0,13,0,0,0,0,1,3,0.4166666666666667,0.5,0.16666666666666666,1,0,0,0,2,1,0,0,1,0,0,0,0,1,0,0,0,0,0,Date,2.0,synth_namefirst_002,2,1,0,True
24,Td,class:event-field-location,"savannah, ga",6,23,Ul,12,2,,0,6,0,0,0,0,1,2,0.9166666666666666,0.0,0.08333333333333333,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,Location,2.0,synth_namefirst_002,2,1,0,True
25,Div,class:nav-item,calendar,4,24,Nav,8,4,,0,0,0,0,0,0,1,1,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other,,synth_namefirst_002,0,0,0,True
26,P,class:nav-item,facebook,8,25,Header,8,2,,0,6,0,0,0,0,1,1,1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other,,synth_namefirst_002,0,0,0,True
